"","nombre","year","day","mes","Caudal"
"19851","RIO MAPOCHO EN EL TREBAL",2021,"12","March","2.7400000000000002"
"19852","RIO MAPOCHO EN EL TREBAL",2021,"12","April",NA
"19853","RIO MAPOCHO EN EL TREBAL",2021,"12","May",NA
"19854","RIO MAPOCHO EN EL TREBAL",2021,"12","June",NA
"19855","RIO MAPOCHO EN EL TREBAL",2021,"12","July",NA
"19856","RIO MAPOCHO EN EL TREBAL",2021,"12","August",NA
"19857","RIO MAPOCHO EN EL TREBAL",2021,"12","September",NA
"19858","RIO MAPOCHO EN EL TREBAL",2021,"12","October",NA
"19859","RIO MAPOCHO EN EL TREBAL",2021,"12","November",NA
"19860","RIO MAPOCHO EN EL TREBAL",2021,"12","December",NA
"19861","RIO MAPOCHO EN EL TREBAL",2021,"13","January",NA
"19862","RIO MAPOCHO EN EL TREBAL",2021,"13","February",NA
"19863","RIO MAPOCHO EN EL TREBAL",2021,"13","March","2.7400000000000002"
"19864","RIO MAPOCHO EN EL TREBAL",2021,"13","April",NA
"19865","RIO MAPOCHO EN EL TREBAL",2021,"13","May",NA
"19866","RIO MAPOCHO EN EL TREBAL",2021,"13","June",NA
"19867","RIO MAPOCHO EN EL TREBAL",2021,"13","July",NA
"19868","RIO MAPOCHO EN EL TREBAL",2021,"13","August",NA
"19869","RIO MAPOCHO EN EL TREBAL",2021,"13","September",NA
"19870","RIO MAPOCHO EN EL TREBAL",2021,"13","October",NA
"19871","RIO MAPOCHO EN EL TREBAL",2021,"13","November",NA
"19872","RIO MAPOCHO EN EL TREBAL",2021,"13","December",NA
"19873","RIO MAPOCHO EN EL TREBAL",2021,"14","January",NA
"19874","RIO MAPOCHO EN EL TREBAL",2021,"14","February",NA
"19875","RIO MAPOCHO EN EL TREBAL",2021,"14","March","3.0800000000000001"
"19876","RIO MAPOCHO EN EL TREBAL",2021,"14","April",NA
"19877","RIO MAPOCHO EN EL TREBAL",2021,"14","May",NA
"19878","RIO MAPOCHO EN EL TREBAL",2021,"14","June",NA
"19879","RIO MAPOCHO EN EL TREBAL",2021,"14","July",NA
"19880","RIO MAPOCHO EN EL TREBAL",2021,"14","August",NA
"19881","RIO MAPOCHO EN EL TREBAL",2021,"14","September",NA
"19882","RIO MAPOCHO EN EL TREBAL",2021,"14","October",NA
"19883","RIO MAPOCHO EN EL TREBAL",2021,"14","November",NA
"19884","RIO MAPOCHO EN EL TREBAL",2021,"14","December",NA
"19885","RIO MAPOCHO EN EL TREBAL",2021,"15","January",NA
"19886","RIO MAPOCHO EN EL TREBAL",2021,"15","February",NA
"19887","RIO MAPOCHO EN EL TREBAL",2021,"15","March","2.6099999999999999"
"19888","RIO MAPOCHO EN EL TREBAL",2021,"15","April",NA
"19889","RIO MAPOCHO EN EL TREBAL",2021,"15","May",NA
"19890","RIO MAPOCHO EN EL TREBAL",2021,"15","June",NA
"19891","RIO MAPOCHO EN EL TREBAL",2021,"15","July",NA
"19892","RIO MAPOCHO EN EL TREBAL",2021,"15","August",NA
"19893","RIO MAPOCHO EN EL TREBAL",2021,"15","September",NA
"19894","RIO MAPOCHO EN EL TREBAL",2021,"15","October",NA
"19895","RIO MAPOCHO EN EL TREBAL",2021,"15","November",NA
"19896","RIO MAPOCHO EN EL TREBAL",2021,"15","December",NA
"19897","RIO MAPOCHO EN EL TREBAL",2021,"16","January",NA
"19898","RIO MAPOCHO EN EL TREBAL",2021,"16","February","3.7599999999999998"
"19899","RIO MAPOCHO EN EL TREBAL",2021,"16","March","1.8199999999999998"
"19900","RIO MAPOCHO EN EL TREBAL",2021,"16","April",NA
"19901","RIO MAPOCHO EN EL TREBAL",2021,"16","May",NA
"19902","RIO MAPOCHO EN EL TREBAL",2021,"16","June",NA
"19903","RIO MAPOCHO EN EL TREBAL",2021,"16","July",NA
"19904","RIO MAPOCHO EN EL TREBAL",2021,"16","August",NA
"19905","RIO MAPOCHO EN EL TREBAL",2021,"16","September",NA
"19906","RIO MAPOCHO EN EL TREBAL",2021,"16","October",NA
"19907","RIO MAPOCHO EN EL TREBAL",2021,"16","November",NA
"19908","RIO MAPOCHO EN EL TREBAL",2021,"16","December",NA
"19909","RIO MAPOCHO EN EL TREBAL",2021,"17","January",NA
"19910","RIO MAPOCHO EN EL TREBAL",2021,"17","February","4.4000000000000004"
"19911","RIO MAPOCHO EN EL TREBAL",2021,"17","March","1.8"
"19912","RIO MAPOCHO EN EL TREBAL",2021,"17","April",NA
"19913","RIO MAPOCHO EN EL TREBAL",2021,"17","May",NA
"19914","RIO MAPOCHO EN EL TREBAL",2021,"17","June",NA
"19915","RIO MAPOCHO EN EL TREBAL",2021,"17","July",NA
"19916","RIO MAPOCHO EN EL TREBAL",2021,"17","August",NA
"19917","RIO MAPOCHO EN EL TREBAL",2021,"17","September",NA
"19918","RIO MAPOCHO EN EL TREBAL",2021,"17","October",NA
"19919","RIO MAPOCHO EN EL TREBAL",2021,"17","November",NA
"19920","RIO MAPOCHO EN EL TREBAL",2021,"17","December",NA
"19921","RIO MAPOCHO EN EL TREBAL",2021,"18","January",NA
"19922","RIO MAPOCHO EN EL TREBAL",2021,"18","February","4.0099999999999998"
"19923","RIO MAPOCHO EN EL TREBAL",2021,"18","March","1.6200000000000001"
"19924","RIO MAPOCHO EN EL TREBAL",2021,"18","April",NA
"19925","RIO MAPOCHO EN EL TREBAL",2021,"18","May",NA
"19926","RIO MAPOCHO EN EL TREBAL",2021,"18","June",NA
"19927","RIO MAPOCHO EN EL TREBAL",2021,"18","July",NA
"19928","RIO MAPOCHO EN EL TREBAL",2021,"18","August",NA
"19929","RIO MAPOCHO EN EL TREBAL",2021,"18","September",NA
"19930","RIO MAPOCHO EN EL TREBAL",2021,"18","October",NA
"19931","RIO MAPOCHO EN EL TREBAL",2021,"18","November",NA
"19932","RIO MAPOCHO EN EL TREBAL",2021,"18","December",NA
"19933","RIO MAPOCHO EN EL TREBAL",2021,"19","January",NA
"19934","RIO MAPOCHO EN EL TREBAL",2021,"19","February","4.5300000000000002"
"19935","RIO MAPOCHO EN EL TREBAL",2021,"19","March","1.6699999999999999"
"19936","RIO MAPOCHO EN EL TREBAL",2021,"19","April",NA
"19937","RIO MAPOCHO EN EL TREBAL",2021,"19","May",NA
"19938","RIO MAPOCHO EN EL TREBAL",2021,"19","June",NA
"19939","RIO MAPOCHO EN EL TREBAL",2021,"19","July",NA
"19940","RIO MAPOCHO EN EL TREBAL",2021,"19","August",NA
"19941","RIO MAPOCHO EN EL TREBAL",2021,"19","September",NA
"19942","RIO MAPOCHO EN EL TREBAL",2021,"19","October",NA
"19943","RIO MAPOCHO EN EL TREBAL",2021,"19","November",NA
"19944","RIO MAPOCHO EN EL TREBAL",2021,"19","December",NA
"19945","RIO MAPOCHO EN EL TREBAL",2021,"20","January",NA
"19946","RIO MAPOCHO EN EL TREBAL",2021,"20","February","5"
"19947","RIO MAPOCHO EN EL TREBAL",2021,"20","March","2.1400000000000001"
"19948","RIO MAPOCHO EN EL TREBAL",2021,"20","April",NA
"19949","RIO MAPOCHO EN EL TREBAL",2021,"20","May",NA
"19950","RIO MAPOCHO EN EL TREBAL",2021,"20","June",NA
"19951","RIO MAPOCHO EN EL TREBAL",2021,"20","July",NA
"19952","RIO MAPOCHO EN EL TREBAL",2021,"20","August",NA
"19953","RIO MAPOCHO EN EL TREBAL",2021,"20","September",NA
"19954","RIO MAPOCHO EN EL TREBAL",2021,"20","October",NA
"19955","RIO MAPOCHO EN EL TREBAL",2021,"20","November",NA
"19956","RIO MAPOCHO EN EL TREBAL",2021,"20","December",NA
"19957","RIO MAPOCHO EN EL TREBAL",2021,"21","January",NA
"19958","RIO MAPOCHO EN EL TREBAL",2021,"21","February","4.8899999999999997"
"19959","RIO MAPOCHO EN EL TREBAL",2021,"21","March","2.3199999999999998"
"19960","RIO MAPOCHO EN EL TREBAL",2021,"21","April",NA
"19961","RIO MAPOCHO EN EL TREBAL",2021,"21","May",NA
"19962","RIO MAPOCHO EN EL TREBAL",2021,"21","June",NA
"19963","RIO MAPOCHO EN EL TREBAL",2021,"21","July",NA
"19964","RIO MAPOCHO EN EL TREBAL",2021,"21","August",NA
"19965","RIO MAPOCHO EN EL TREBAL",2021,"21","September",NA
